scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/DP/22012034367152,04-10-2018," clean environment at SSK campus schemes(compose pit,sock pit,brick solling pavement,land levelling, ",157680,42874,77664,10677,27-04-2017,77664,0,0,10677,0  ,88341,
3214003009/LD/321002040737626,19-05-2020,Land Levelling Of Nityananda Sahis ,16020,3040,14040,405,21-09-2017,14040,0,405,0,0  ,14445,
3214003009/DP/22012034366520,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,84552,1500,27-04-2017,84552,0,0,1500,0  ,86052,
3214003009/IF/IAY/3744368,11-01-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3507908 ,19380,0,19380,0,20-03-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3744367,20-01-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2713406 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034366510,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,35000,1500,27-04-2017,35000,0,0,1500,0  ,36500,
3214003009/DP/22012034366512,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,57870,19903,27-04-2017,57870,0,0,19903,0  ,77773,
3214003009/IF/IAY/3744377,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3261688 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034366523,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,106366,19903,27-04-2017,106366,0,0,19903,0  ,126269,
3214003009/LD/321002040797976,05-07-2019,LAND LEVELING OF SUDARSWAN SAHIS ,93420,5200,93150,2792,24-02-2018,93150,0,2792,0,0  ,95942,
3214003009/LD/321002040797520,05-07-2019,LAND LEVELING OF GANESH MAHATO ,44820,3850,39060,1172,16-02-2018,39060,0,1172,0,0  ,40232,
3214003009/LD/321002040798270,03-07-2019,LAND LEVELING OF TAPAN MAHATO ,190620,8170,177700,3950,16-02-2018,177700,0,3950,0,0  ,181650,
