scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010005/IF/IAY/3367730,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5305503 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367722,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4689886 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367721,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5765168 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367720,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5202731 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3716683,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3569259 ,29-10-2020,19380,0,19380,0,06-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3367719,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5160319 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367715,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3329397 ,29-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367714,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5247030 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367716,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2316353 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367709,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4872360 ,08-01-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367725,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5100546 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367707,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5150062 ,14-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367706,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4806085 ,03-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3716678,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5380637 ,02-02-2021,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
