scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3216011003/IF/IAY/4055788),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2982567 ,14/02/2022 ,18360 ,0 ,9519 ,0 ,08/05/2020,9519,0,0,0,0  ,9519,
(3216011003/IF/IAY/4055779),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5323067 ,15/09/2021 ,18360 ,0 ,12780 ,0 ,29/05/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4055776),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4780608 ,28/06/2021 ,18360 ,0 ,18621 ,0 ,08/05/2020,18621,0,0,0,0  ,18621,
(3216011003/IF/IAY/4055795),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5149130 ,15/09/2021 ,18360 ,0 ,14004 ,0 ,08/05/2020,14004,0,0,0,0  ,14004,
(3216011003/IF/IAY/4055755),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4446808 ,24/08/2021 ,18360 ,0 ,18039 ,0 ,29/05/2020,18039,0,0,0,0  ,18039,
(3216011003/IF/IAY/4055750),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5478182 ,15/09/2021 ,18360 ,0 ,15840 ,0 ,29/05/2020,15840,0,0,0,0  ,15840,
(3216011003/IF/IAY/4055758),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4429665 ,24/08/2021 ,18360 ,0 ,18039 ,0 ,29/05/2020,18039,0,0,0,0  ,18039,
(3216011003/IF/IAY/4055727),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4823264 ,14/02/2022 ,18360 ,0 ,16188 ,0 ,29/05/2020,16188,0,0,0,0  ,16188,
(3216011003/IF/IAY/4055729),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3870725 ,14/02/2022 ,18360 ,0 ,8520 ,0 ,08/05/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4055722),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3694812 ,24/08/2021 ,18360 ,0 ,17904 ,0 ,08/05/2020,17904,0,0,0,0  ,17904,
(3216011003/IF/IAY/4055720),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3949556 ,24/08/2021 ,18360 ,0 ,17904 ,0 ,29/05/2020,17904,0,0,0,0  ,17904,
(3216011003/IF/IAY/4055715),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5393080 ,14/09/2021 ,18360 ,0 ,19170 ,0 ,08/05/2020,19170,0,0,0,0  ,19170,
(3216011003/IF/IAY/4055710),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4534096 ,24/08/2021 ,18360 ,0 ,18039 ,0 ,29/05/2020,18039,0,0,0,0  ,18039,
(3216011003/IF/IAY/4055712),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4171658 ,24/08/2021 ,18360 ,0 ,17904 ,0 ,29/05/2020,17904,0,0,0,0  ,17904,
(3216011003/IF/IAY/4055691),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5410947 ,15/09/2021 ,18360 ,0 ,15909 ,0 ,29/05/2020,15909,0,0,0,0  ,15909,
(3216011003/IF/IAY/4055689),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3927980 ,02/08/2021 ,18360 ,0 ,15774 ,0 ,08/05/2020,15774,0,0,0,0  ,15774,
(3216011003/IF/IAY/4055680),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3662788 ,03/06/2021 ,18360 ,0 ,18486 ,0 ,08/05/2020,18486,0,0,0,0  ,18486,
